구분,항목,선행내용,점수
환경미화 및 봉사활동,1,"청소 활동에 자발적·능동적으로 참여(방과후 수업 시 교실 청소, 청소 및 주번 활동을 특별히 잘한 학생 등 ",1
환경미화 및 봉사활동,2,교실 환경미화에 적극 참여한 학생,2
환경미화 및 봉사활동,3,대외 봉사활동에 헌신적이고 적극적일 때,2
환경미화 및 봉사활동,4,학교행사 시 봉사활동에 헌신적이고 적극적일 때,2
환경미화 및 봉사활동,5,"학교 전체를 위한 봉사활동(학교 신문 편집, 학교축제 준비, 각종 집회 준비, 캠페인활동 등등에서 특별히 성실한 학생에게 성실도에 따라 봉사 시간 외에 차등 부여)",1∼3
고발 및 신고활동,6,"비품, 공공기물의 고장 신고 및 훼손 행위 신고",1
고발 및 신고활동,7,분실물 습득 및 신고(조작 및 부정 신고 시 바로 징계),1
고발 및 신고활동,8,"운동장, 체육관 이외 장소에서의 공놀이, 타인에서 불편함을 주는 위험한 행동 신고",1
고발 및 신고활동,9,외부인 교실내 무단 출입 신고,2
고발 및 신고활동,10,월장 행위 신고,2
고발 및 신고활동,11,교내 및 학교 인근 안전사고 위험을 인지하고 신고한 경우,3
고발 및 신고활동,12,청소년 대상 술·담배 판매처 구체적 신고,3
고발 및 신고활동,13,"학교 내·외 흡연 신고(상황 유도 후 신고, 협박 등의 행위자는 징계)",3
고발 및 신고활동,14,"절도 행위 신고, 도난 사고 내용 구체적 제보자",3∼10
고발 및 신고활동,15,학교 폭력 신고(상황의 심각성에 따라 최대 10점까지),3∼10
수상 및 명예선양,16,학교장 표창·도동인재상 및 그에 준하는 외부 기관장 상 수상,2
수상 및 명예선양,17,시 단위 이상의 기관장 상 수상,3
수상 및 명예선양,18,개인의 활동이 언론 출연 및 보도로 학교의 명예 선양,5
선행 및 모범학생,19,"예절 바른 행동을 하였을 때, 인사를 잘하였을 때",1
선행 및 모범학생,20,용의 복장이 단정하여 다른 학생의 모범이 되었을 때,1
선행 및 모범학생,21,교내 인성교육 실천 프로그램에 자발적으로 참여한 학생,1
선행 및 모범학생,22,벌점을 받은 적이 없는 모범학생(담임 추천 월 5명 이내),1
선행 및 모범학생,23,"3개월 연속 개근한 학생(1회당 담임 선생님이 상점 부여, 7-8월과 12-2월은 1개월로 간주) - 연간 최대 2점",1
선행 및 모범학생,24,"금연 선언(12개월 이내 흡연 경험자) 최초 5점, 2·3년차 3점",3 또는 5
선행 및 모범학생,25,금연 프로그램 후 니코틴 반응 검사 통과 (연간 최대 4회),3
선행 및 모범학생,26,금연 프로그램 참가 후 매일 CO 측정 7회 통과시 1점 부여,1
선행 및 모범학생,27,"고가물품 찾아주기, 도움이 필요한 친구를 지속적으로 도움",2
선행 및 모범학생,28,불우이웃 돕기에 적극적으로 참여,2
선행 및 모범학생,29,야간 자기주도학습 1개월 개근(월별 최대 1회),1
수업태도,30,과제 및 수업 준비를 잘 해 와서 칭찬할 만한 학생,1
수업태도,31,"수업, 동아리 활동 등에 능동적으로 참여, 태도가 모범이 될 때",1
